"","Elevation","PCC","MacSlope","LitDep","DepO","DepA","pH","PctOM","P","K","Ca","Mg","B","Mn","Cu","Fe","Al","Na","S","ECEC","Pb","Ni","Cd","Cr"
"79",297,70.1,44,2.8,3.4,3.5,6.53,11.882,1.85,66,252,1383,0.15,5.8,0.1,2.6,5,13,3,12.95,0.85,5.8,0.05,0.3
"80",284,78.68,17,2.64285714285714,2.14285714285714,5.14285714285714,6.19,15.067,2.5,39,667,1608,0.3,8,0.15,10.1,10,40,15,16.84,0.6,13.6,0.15,0.1
"81",413,78.94,32,2.80769230769231,3,3.5,5.53,14.794,5,96,788,1090,0.2,29.4,0.1,16.9,27,10,9,13.27,0.35,5,0.15,0.3
"82",420,90.12,8,2.875,0.625,12.25,7.01,10.79,1.5,52,3363,75,0.5,5.3,0.05,1.7,6,19,7,17.57,0.05,0.1,0.05,0.05
"83",338,85.96,26,3.2,0.7,10.8,6.32,6.149,1.25,25,1528,99,0.25,12.6,0.1,7.5,8,8,6,8.53,0.15,0.3,0.05,0
"84",716,82.06,21,2.25,2.75,10.1666666666667,5.43,16.159,1.65,128,1687,118,0.2,27.1,0.15,11.1,251,32,16,9.75,1.35,0.4,0.2,0.05
"85",274,86.22,43,2.75,0.642857142857143,7.25,7.67,6.604,1.25,20,3637,184,0.55,33.2,0.1,10.3,7,8,5,19.77,0.15,0.3,0.05,0.05
"86",488,87.78,9,1.875,0.9375,14.5,6.25,10.881,0.95,89,2952,218,0.25,7.8,0.1,3.2,46,16,7,16.8,0.55,0.15,0.1,0.05
"87",504,84.4,14,2.41666666666667,0.291666666666667,13.1666666666667,5.85,8.515,1.35,84,1878,164,0.2,13.6,0.05,5.9,77,13,7,10.97,0.7,0.3,0.1,0.05
"88",409,86.22,2,2.15,1.2,5.5,6.97,21.346,2.9,106,3655,133,1.15,7.3,0.05,1.5,6,10,10,19.66,0,0.1,0.1,0.05
"89",414,88.82,8,1.8,1,11.4,5.03,19.253,3.3,130,669,69,0.15,49.6,0.2,16.6,385,25,32,4.25,1.8,0.65,0.15,0.1
"90",326,81.02,3,2.11111111111111,0.833333333333333,5.27777777777778,6.26,7.423,2.25,106,2007,287,0.2,7.6,0.15,4.9,36,8,7,12.7,0.65,0.3,0.1,0.05
"91",65,89.86,12,0.375,0.916666666666667,7.66666666666667,6.55,10.153,9.3,115,2780,393,0.6,13.8,0.05,2.7,9,14,7,17.47,0.15,0.15,0.1,0
"92",412,37.86,24,3.45833333333333,2.625,2.16666666666667,6.11,9.243,1.55,35,220,1486,0.2,7,0.15,16.7,22,17,4,13.57,0.9,8.25,0.1,0.45
"93",338,84.4,28,3,3.88888888888889,5.83333333333333,5.74,15.704,1.5,79,788,1090,0.2,25.8,0.15,15.9,61,17,9,13.23,0.35,6.9,0.1,1
"94",328,61.52,20,1.95,3.2,1.3,5.35,10.062,2.95,46,357,1012,0.15,15.2,0.1,16.6,19,11,5,10.34,0.9,6.6,0.05,0.6
"95",344,66.98,5,1.25,4.83333333333333,5.08333333333333,6.43,21.71,1.45,67,953,1874,0.25,7.9,0.1,3.9,13,16,7,20.55,0.35,7.95,0.1,0.35
